service_id,date,exception_type
304717,20220219,1
304717,20220226,1
304717,20220305,1
303233,20220129,1
303233,20220205,1
303233,20220212,1
303233,20220219,1
303233,20220226,1
303233,20220305,1
304805,20220129,1
304805,20220205,1
304805,20220212,1
304805,20220219,1
304805,20220226,1
304805,20220305,1
305741,20220129,1
305741,20220205,1
305741,20220212,1
305741,20220219,1
305741,20220226,1
305741,20220305,1
303012,20220129,1
303012,20220205,1
303012,20220212,1
303012,20220219,1
303012,20220226,1
303012,20220305,1
305897,20220129,1
305897,20220205,1
305897,20220212,1
305897,20220219,1
305897,20220226,1
305897,20220305,1
304677,20220129,1
304677,20220205,1
304677,20220212,1
304677,20220219,1
304677,20220226,1
304677,20220305,1
303718,20220129,1
303718,20220205,1
303718,20220212,1
303718,20220219,1
303718,20220226,1
303718,20220305,1
305346,20220129,1
305346,20220205,1
305346,20220212,1
305346,20220219,1
305346,20220226,1
305346,20220305,1
304850,20220129,1
304850,20220205,1
304850,20220212,1
304850,20220219,1
304850,20220226,1
304850,20220305,1
303455,20220129,1
303455,20220205,1
303455,20220212,1
303455,20220219,1
303455,20220226,1
303455,20220305,1
303449,20220221,1
304049,20220221,1
305092,20220221,1
299638,20220221,1
301218,20220221,1
305240,20220221,1
303460,20220221,1
304105,20220221,1
304837,20220221,1
300158,20220221,1
303204,20220221,1
299739,20220221,1
304015,20220221,1
305875,20220221,1
300567,20220221,1
301453,20220221,1
303022,20220221,1
299626,20220221,1
303881,20220221,1
305474,20220221,1
301544,20220221,1
300775,20220221,1
303211,20220221,1
301392,20220221,1
303848,20220221,1
305300,20220221,1
300457,20220221,1
300603,20220221,1
303126,20220221,1
305427,20220221,1
300851,20220221,1
304122,20220221,1
305028,20220221,1
300257,20220221,1
301594,20220221,1
305509,20220221,1
301102,20220221,1
304515,20220221,1
304814,20220221,1
300923,20220221,1
301387,20220129,1
301387,20220205,1
301387,20220212,1
301387,20220219,1
301387,20220226,1
301387,20220305,1
305616,20220129,1
305616,20220205,1
305616,20220212,1
305616,20220219,1
305616,20220226,1
305616,20220305,1
300832,20220129,1
300832,20220205,1
300832,20220212,1
300832,20220219,1
300832,20220226,1
300832,20220305,1
305858,20220129,1
305858,20220205,1
305858,20220212,1
305858,20220219,1
305858,20220226,1
305858,20220305,1
301531,20220129,1
301531,20220205,1
301531,20220212,1
301531,20220219,1
301531,20220226,1
301531,20220305,1
304950,20220129,1
304950,20220205,1
304950,20220212,1
304950,20220219,1
304950,20220226,1
304950,20220305,1
303658,20220129,1
303658,20220205,1
303658,20220212,1
303658,20220219,1
303658,20220226,1
303658,20220305,1
305679,20220129,1
305679,20220205,1
305679,20220212,1
305679,20220219,1
305679,20220226,1
305679,20220305,1
300822,20220129,1
300822,20220205,1
300822,20220212,1
300822,20220219,1
300822,20220226,1
300822,20220305,1
305732,20220129,1
305732,20220205,1
305732,20220212,1
305732,20220219,1
305732,20220226,1
305732,20220305,1
301104,20220129,1
301104,20220205,1
301104,20220212,1
301104,20220219,1
301104,20220226,1
301104,20220305,1
299461,20220129,1
299461,20220205,1
299461,20220212,1
299461,20220219,1
299461,20220226,1
299461,20220305,1
300604,20220129,1
300604,20220205,1
300604,20220212,1
300604,20220219,1
300604,20220226,1
300604,20220305,1
305639,20220129,1
305639,20220205,1
305639,20220212,1
305639,20220219,1
305639,20220226,1
305639,20220305,1
303623,20220129,1
303623,20220205,1
303623,20220212,1
303623,20220219,1
303623,20220226,1
303623,20220305,1
305800,20220129,1
305800,20220205,1
305800,20220212,1
305800,20220219,1
305800,20220226,1
305800,20220305,1
303259,20220129,1
303259,20220205,1
303259,20220212,1
303259,20220219,1
303259,20220226,1
303259,20220305,1
305091,20220129,1
305091,20220205,1
305091,20220212,1
305091,20220219,1
305091,20220226,1
305091,20220305,1
300263,20220129,1
300263,20220205,1
300263,20220212,1
300263,20220219,1
300263,20220226,1
300263,20220305,1
304993,20220129,1
304993,20220205,1
304993,20220212,1
304993,20220219,1
304993,20220226,1
304993,20220305,1
301055,20220129,1
301055,20220205,1
301055,20220212,1
301055,20220219,1
301055,20220226,1
301055,20220305,1
305817,20220129,1
305817,20220205,1
305817,20220212,1
305817,20220219,1
305817,20220226,1
305817,20220305,1
304712,20220129,1
304712,20220205,1
304712,20220212,1
304712,20220219,1
304712,20220226,1
304712,20220305,1
305996,20220129,1
305996,20220205,1
305996,20220212,1
305996,20220219,1
305996,20220226,1
305996,20220305,1
304410,20220129,1
304410,20220205,1
304410,20220212,1
304410,20220219,1
304410,20220226,1
304410,20220305,1
303868,20220129,1
303868,20220205,1
303868,20220212,1
303868,20220219,1
303868,20220226,1
303868,20220305,1
304752,20220129,1
304752,20220205,1
304752,20220212,1
304752,20220219,1
304752,20220226,1
304752,20220305,1
300315,20220129,1
300315,20220205,1
300315,20220212,1
300315,20220219,1
300315,20220226,1
300315,20220305,1
305012,20220129,1
305012,20220205,1
305012,20220212,1
305012,20220219,1
305012,20220226,1
305012,20220305,1
301077,20220129,1
301077,20220205,1
301077,20220212,1
301077,20220219,1
301077,20220226,1
301077,20220305,1
305398,20220129,1
305398,20220205,1
305398,20220212,1
305398,20220219,1
305398,20220226,1
305398,20220305,1
299460,20220129,1
299460,20220205,1
299460,20220212,1
299460,20220219,1
299460,20220226,1
299460,20220305,1
305582,20220129,1
305582,20220205,1
305582,20220212,1
305582,20220219,1
305582,20220226,1
305582,20220305,1
300722,20220129,1
300722,20220205,1
300722,20220212,1
300722,20220219,1
300722,20220226,1
300722,20220305,1
305742,20220129,1
305742,20220205,1
305742,20220212,1
305742,20220219,1
305742,20220226,1
305742,20220305,1
299570,20220129,1
299570,20220205,1
299570,20220212,1
299570,20220219,1
299570,20220226,1
299570,20220305,1
304706,20220129,1
304706,20220205,1
304706,20220212,1
304706,20220219,1
304706,20220226,1
304706,20220305,1
304930,20220129,1
304930,20220205,1
304930,20220212,1
304930,20220219,1
304930,20220226,1
304930,20220305,1
304781,20220129,1
304781,20220205,1
304781,20220212,1
304781,20220219,1
304781,20220226,1
304781,20220305,1
305233,20220129,1
305233,20220205,1
305233,20220212,1
305233,20220219,1
305233,20220226,1
305233,20220305,1
305017,20220129,1
305017,20220205,1
305017,20220212,1
305017,20220219,1
305017,20220226,1
305017,20220305,1
305282,20220129,1
305282,20220205,1
305282,20220212,1
305282,20220219,1
305282,20220226,1
305282,20220305,1
304880,20220129,1
304880,20220205,1
304880,20220212,1
304880,20220219,1
304880,20220226,1
304880,20220305,1
304779,20220129,1
304779,20220205,1
304779,20220212,1
304779,20220219,1
304779,20220226,1
304779,20220305,1
305119,20220129,1
305119,20220205,1
305119,20220212,1
305119,20220219,1
305119,20220226,1
305119,20220305,1
305191,20220129,1
305191,20220205,1
305191,20220212,1
305191,20220219,1
305191,20220226,1
305191,20220305,1
306051,20220129,1
306051,20220205,1
306051,20220212,1
306051,20220219,1
306051,20220226,1
306051,20220305,1
305892,20220129,1
305892,20220205,1
305892,20220212,1
305892,20220219,1
305892,20220226,1
305892,20220305,1
305774,20220126,1
305774,20220127,1
305774,20220128,1
305774,20220131,1
305774,20220201,1
305774,20220202,1
305774,20220203,1
305774,20220204,1
305774,20220207,1
305774,20220208,1
305774,20220209,1
305774,20220210,1
305774,20220211,1
305774,20220214,1
305774,20220215,1
305774,20220216,1
305774,20220217,1
305774,20220218,1
305774,20220222,1
305774,20220223,1
305774,20220224,1
305774,20220225,1
305774,20220228,1
305774,20220301,1
305774,20220302,1
305774,20220303,1
305774,20220304,1
300135,20220126,1
300135,20220127,1
300135,20220128,1
300135,20220131,1
300135,20220201,1
300135,20220202,1
300135,20220203,1
300135,20220204,1
300135,20220207,1
300135,20220208,1
300135,20220209,1
300135,20220210,1
300135,20220211,1
300135,20220214,1
300135,20220215,1
300135,20220216,1
300135,20220217,1
300135,20220218,1
300135,20220222,1
300135,20220223,1
300135,20220224,1
300135,20220225,1
300135,20220228,1
300135,20220301,1
300135,20220302,1
300135,20220303,1
300135,20220304,1
305720,20220126,1
305720,20220127,1
305720,20220128,1
305720,20220131,1
305720,20220201,1
305720,20220202,1
305720,20220203,1
305720,20220204,1
305720,20220207,1
305720,20220208,1
305720,20220209,1
305720,20220210,1
305720,20220211,1
305720,20220214,1
305720,20220215,1
305720,20220216,1
305720,20220217,1
305720,20220218,1
305720,20220222,1
305720,20220223,1
305720,20220224,1
305720,20220225,1
305720,20220228,1
305720,20220301,1
305720,20220302,1
305720,20220303,1
305720,20220304,1
301496,20220126,1
301496,20220127,1
301496,20220128,1
301496,20220131,1
301496,20220201,1
301496,20220202,1
301496,20220203,1
301496,20220204,1
301496,20220207,1
301496,20220208,1
301496,20220209,1
301496,20220210,1
301496,20220211,1
301496,20220214,1
301496,20220215,1
301496,20220216,1
301496,20220217,1
301496,20220218,1
301496,20220222,1
301496,20220223,1
301496,20220224,1
301496,20220225,1
301496,20220228,1
301496,20220301,1
301496,20220302,1
301496,20220303,1
301496,20220304,1
304692,20220126,1
304692,20220127,1
304692,20220128,1
304692,20220131,1
304692,20220201,1
304692,20220202,1
304692,20220203,1
304692,20220204,1
304692,20220207,1
304692,20220208,1
304692,20220209,1
304692,20220210,1
304692,20220211,1
304692,20220214,1
304692,20220215,1
304692,20220216,1
304692,20220217,1
304692,20220218,1
304692,20220222,1
304692,20220223,1
304692,20220224,1
304692,20220225,1
304692,20220228,1
304692,20220301,1
304692,20220302,1
304692,20220303,1
304692,20220304,1
299473,20220126,1
299473,20220127,1
299473,20220128,1
299473,20220131,1
299473,20220201,1
299473,20220202,1
299473,20220203,1
299473,20220204,1
299473,20220207,1
299473,20220208,1
299473,20220209,1
299473,20220210,1
299473,20220211,1
299473,20220214,1
299473,20220215,1
299473,20220216,1
299473,20220217,1
299473,20220218,1
299473,20220222,1
299473,20220223,1
299473,20220224,1
299473,20220225,1
299473,20220228,1
299473,20220301,1
299473,20220302,1
299473,20220303,1
299473,20220304,1
305000,20220126,1
305000,20220127,1
305000,20220128,1
305000,20220131,1
305000,20220201,1
305000,20220202,1
305000,20220203,1
305000,20220204,1
305000,20220207,1
305000,20220208,1
305000,20220209,1
305000,20220210,1
305000,20220211,1
305000,20220214,1
305000,20220215,1
305000,20220216,1
305000,20220217,1
305000,20220218,1
305000,20220222,1
305000,20220223,1
305000,20220224,1
305000,20220225,1
305000,20220228,1
305000,20220301,1
305000,20220302,1
305000,20220303,1
305000,20220304,1
301058,20220126,1
301058,20220127,1
301058,20220128,1
301058,20220131,1
301058,20220201,1
301058,20220202,1
301058,20220203,1
301058,20220204,1
301058,20220207,1
301058,20220208,1
301058,20220209,1
301058,20220210,1
301058,20220211,1
301058,20220214,1
301058,20220215,1
301058,20220216,1
301058,20220217,1
301058,20220218,1
301058,20220222,1
301058,20220223,1
301058,20220224,1
301058,20220225,1
301058,20220228,1
301058,20220301,1
301058,20220302,1
301058,20220303,1
301058,20220304,1
304836,20220126,1
304836,20220127,1
304836,20220128,1
304836,20220131,1
304836,20220201,1
304836,20220202,1
304836,20220203,1
304836,20220204,1
304836,20220207,1
304836,20220208,1
304836,20220209,1
304836,20220210,1
304836,20220211,1
304836,20220214,1
304836,20220215,1
304836,20220216,1
304836,20220217,1
304836,20220218,1
304836,20220222,1
304836,20220223,1
304836,20220224,1
304836,20220225,1
304836,20220228,1
304836,20220301,1
304836,20220302,1
304836,20220303,1
304836,20220304,1
299841,20220126,1
299841,20220127,1
299841,20220128,1
299841,20220131,1
299841,20220201,1
299841,20220202,1
299841,20220203,1
299841,20220204,1
299841,20220207,1
299841,20220208,1
299841,20220209,1
299841,20220210,1
299841,20220211,1
299841,20220214,1
299841,20220215,1
299841,20220216,1
299841,20220217,1
299841,20220218,1
299841,20220222,1
299841,20220223,1
299841,20220224,1
299841,20220225,1
299841,20220228,1
299841,20220301,1
299841,20220302,1
299841,20220303,1
299841,20220304,1
305147,20220126,1
305147,20220127,1
305147,20220128,1
305147,20220131,1
305147,20220201,1
305147,20220202,1
305147,20220203,1
305147,20220204,1
305147,20220207,1
305147,20220208,1
305147,20220209,1
305147,20220210,1
305147,20220211,1
305147,20220214,1
305147,20220215,1
305147,20220216,1
305147,20220217,1
305147,20220218,1
305147,20220222,1
305147,20220223,1
305147,20220224,1
305147,20220225,1
305147,20220228,1
305147,20220301,1
305147,20220302,1
305147,20220303,1
305147,20220304,1
299116,20220126,1
299116,20220127,1
299116,20220128,1
299116,20220131,1
299116,20220201,1
299116,20220202,1
299116,20220203,1
299116,20220204,1
299116,20220207,1
299116,20220208,1
299116,20220209,1
299116,20220210,1
299116,20220211,1
299116,20220214,1
299116,20220215,1
299116,20220216,1
299116,20220217,1
299116,20220218,1
299116,20220222,1
299116,20220223,1
299116,20220224,1
299116,20220225,1
299116,20220228,1
299116,20220301,1
299116,20220302,1
299116,20220303,1
299116,20220304,1
305118,20220126,1
305118,20220127,1
305118,20220128,1
305118,20220131,1
305118,20220201,1
305118,20220202,1
305118,20220203,1
305118,20220204,1
305118,20220207,1
305118,20220208,1
305118,20220209,1
305118,20220210,1
305118,20220211,1
305118,20220214,1
305118,20220215,1
305118,20220216,1
305118,20220217,1
305118,20220218,1
305118,20220222,1
305118,20220223,1
305118,20220224,1
305118,20220225,1
305118,20220228,1
305118,20220301,1
305118,20220302,1
305118,20220303,1
305118,20220304,1
299594,20220126,1
299594,20220127,1
299594,20220128,1
299594,20220131,1
299594,20220201,1
299594,20220202,1
299594,20220203,1
299594,20220204,1
299594,20220207,1
299594,20220208,1
299594,20220209,1
299594,20220210,1
